url,starAmount,forkAmount,position
https://api.github.com/repos/Pi-Developers/Pi-Locker,97,48,body
https://api.github.com/repos/brodeurlv/fastnfitness,92,109,body
https://api.github.com/repos/ros-java/android_apps,92,92,body
https://api.github.com/repos/DHM47/Native-Clip-Board,91,33,body
https://api.github.com/repos/giljulio/android-multiple-image-picker,91,30,body
https://api.github.com/repos/littlesavage/RtkGps,86,150,body
https://api.github.com/repos/rharter/android-tooltips,81,30,body
https://api.github.com/repos/shripalsoni04/nativescript-webview-interface,80,33,body
https://api.github.com/repos/AAkira/ExoPlayerManager,76,22,title
https://api.github.com/repos/4455jkjh/apktool-android,75,27,body
https://api.github.com/repos/loopeer/ImageGroupView,75,19,body
https://api.github.com/repos/svenwiegand/android-time-duration-picker,71,26,title
https://api.github.com/repos/bajian/material-code-input,66,13,body
https://api.github.com/repos/lukehutch/android-multitouch-controller,63,24,body
https://api.github.com/repos/semsamot/ActionBarRTLizer,61,10,body
https://api.github.com/repos/androhi/AndroidDrawableViewer,58,4,body
https://api.github.com/repos/alanv/tesseract-android-tools,53,19,body
https://api.github.com/repos/hamsaadev/RTLMaterialSpinner,52,11,body
https://api.github.com/repos/chinmoyp/screenrecorder,51,35,body
https://api.github.com/repos/GeraudBourdin/Ti.SvgView,48,19,body
https://api.github.com/repos/offbye/AndroidDownloadManger,46,28,body
https://api.github.com/repos/centrifugal/centrifuge-android,45,24,body
https://api.github.com/repos/FZambia/centrifuge-android,45,24,body
https://api.github.com/repos/litecoin-foundation/breadwallet-android,44,76,body
https://api.github.com/repos/AlexZhuo/AlxGifHelper,44,8,body
https://api.github.com/repos/NativeScript/android-v8,42,10,body
https://api.github.com/repos/sozialhelden/wheelmap-android,41,29,title
https://api.github.com/repos/jp-bennett/Fwknop2,41,13,body
https://api.github.com/repos/SudoCode755/SudoHide,35,14,body
https://api.github.com/repos/GunaseelanArumaikkannu/MultiSpinner,30,30,body
https://api.github.com/repos/sht5/Android-tcp-server-and-client,30,28,body
https://api.github.com/repos/okta/okta-sdk-appauth-android,30,17,title
https://api.github.com/repos/rameshvoltella/WoocommerceAndroidOAuth1,30,11,body
https://api.github.com/repos/shaithana/cordova-plugin-wezka-nativecamera,29,79,body
https://api.github.com/repos/aflx/Sardine-Android,27,38,body
https://api.github.com/repos/ajkh35/ContactsDemo,27,14,title
https://api.github.com/repos/huxq17/android-Universal-CircleIndicator,25,12,title
https://api.github.com/repos/vbartacek/aacplayer-android,25,7,body
https://api.github.com/repos/nicoechaniz/lime-app,23,14,body
https://api.github.com/repos/Joy-Whale/ImageSelector,21,10,body
https://api.github.com/repos/jpmml/jpmml-android,19,7,body
https://api.github.com/repos/ch-muhammad-adil/Android-Material-Picker-Dialog,18,3,body
https://api.github.com/repos/kalemontes/OIDCAndroidLib,17,10,body
https://api.github.com/repos/skyisle/gradle-jacoco-android,17,4,body
https://api.github.com/repos/ZhangSir/mupdf-source,16,6,body
https://api.github.com/repos/mukesh4u/Android-LinkedIn-Demo,15,19,body
https://api.github.com/repos/louffoster/FlickIt-old,13,2,body
https://api.github.com/repos/strin/caffe-android-lib,11,6,body
https://api.github.com/repos/mWater/cordova-plugin-wezka-nativecamera,9,13,body
https://api.github.com/repos/maniksejwal/Memory-Assistant,9,8,body
https://api.github.com/repos/burakdede/shaketobug-android,9,4,body
https://api.github.com/repos/ssmiech/rubotium,9,3,title
https://api.github.com/repos/jackson4code/monkey,9,3,body
https://api.github.com/repos/jfreax/OpenLaw,8,4,body
https://api.github.com/repos/chili-epfl/nao_writing,8,4,title
https://api.github.com/repos/hzsweers/psync,8,2,body
https://api.github.com/repos/courysky/MediaVideoRecord,8,0,body
https://api.github.com/repos/lshanker/BoilerFaves,7,0,body
https://api.github.com/repos/mondain/android-spl-meter,6,3,title
https://api.github.com/repos/Bubu/android-dice-game,6,3,title
https://api.github.com/repos/gcacace/dex2jar,6,1,body
https://api.github.com/repos/ahmadaghazadeh/sevensky-cordova-plugin-intent,5,3,body
https://api.github.com/repos/chufengma/android-skills,5,2,title
https://api.github.com/repos/badoque/titanium-ffmpeg-android-wrapper,5,2,body
https://api.github.com/repos/pyuan/cftoaster,5,2,body
https://api.github.com/repos/Flaredown/FlaredownAndroid,5,1,body
https://api.github.com/repos/ANDLABS-Git/studio-lounge-droid,5,0,title
https://api.github.com/repos/istSOS/android-demo,4,7,body
https://api.github.com/repos/bitpay/android-sdk-sample,4,6,body
https://api.github.com/repos/hiteshsahu/apps-for-android,4,3,body
https://api.github.com/repos/brentn/zzStenoKeyboard,4,3,body
https://api.github.com/repos/dkhs/GeoAlert,4,2,body
https://api.github.com/repos/koko-ng/android-client,4,2,body
https://api.github.com/repos/flyme2012/EastTrain,4,1,body
https://api.github.com/repos/joar/mediagoblin-android,3,3,body
https://api.github.com/repos/HackerspaceBremen/hshb_notifier_android,3,2,body
https://api.github.com/repos/CodePath-MAF/AndroidClient,3,2,title
https://api.github.com/repos/padakeji/AutoWrapLayoutManager,3,1,body
https://api.github.com/repos/wangxp423/MediaExercise,3,0,body
https://api.github.com/repos/futhrevo/SpeechTrials,3,0,body
https://api.github.com/repos/Kachilero/android-youtube-player,3,0,body
https://api.github.com/repos/cagataymuhammet/opensudoku-android,3,0,body
https://api.github.com/repos/chiemy/android-summary,3,0,body
https://api.github.com/repos/skumailraza/Snakes_and_Ladders,2,9,body
https://api.github.com/repos/ppamorim/ipcamera-for-android,2,4,body
https://api.github.com/repos/Ajay191191/Attendance-Management-App,2,4,title
https://api.github.com/repos/GinRyan/android-serialport-api,2,3,title
https://api.github.com/repos/Hyperactivity/android-app,2,2,body
https://api.github.com/repos/shinymayhem/radio-presets-widget,2,2,body
https://api.github.com/repos/kasis/Timetable,2,1,title
https://api.github.com/repos/biddyweb/android-rcs-ims-stack,2,1,body
https://api.github.com/repos/18811727185/android-wheel,2,1,title
https://api.github.com/repos/prashant31191/weather-notification-android,2,1,body
https://api.github.com/repos/iFialAtFail/DiscGolfApplication,2,0,body
https://api.github.com/repos/mandlar/radioreddit-android,2,0,body
https://api.github.com/repos/wangbin/wehuibao,2,0,body
https://api.github.com/repos/antduan/tesseract-android-tools,2,0,body
https://api.github.com/repos/adform/adform-android-sdk,1,6,body
https://api.github.com/repos/lishuyuan/ksoap2-android,1,4,body
https://api.github.com/repos/arifin123/IdentityCardAndroid,1,3,body
https://api.github.com/repos/fan2597/android-test-kit,1,2,title
